ID	EMT-index	EMT_class
TCGA-25-1329-01A	14.27529775	EMT_high
TCGA-25-1870-01A	14.25326809	EMT_high
TCGA-24-0970-01B	14.20159803	EMT_high
TCGA-24-1546-01A	14.19583202	EMT_high
TCGA-24-1470-01A	14.1748654	EMT_high
TCGA-30-1718-01A	14.17218283	EMT_high
TCGA-23-1111-01A	14.15568568	EMT_high
TCGA-24-2271-01A	14.12889573	EMT_high
TCGA-23-1116-01A	14.11442254	EMT_high
TCGA-23-2084-01A	14.10689292	EMT_high
TCGA-13-0908-01B	14.10451813	EMT_high
TCGA-61-1919-01A	14.0929963	EMT_high
TCGA-13-1411-01A	13.8576833	EMT_high
TCGA-61-2101-01A	13.85565666	EMT_high
TCGA-13-1483-01A	13.84384868	EMT_high
TCGA-29-1691-01A	13.8365392	EMT_high
TCGA-57-1994-01A	13.82025806	EMT_high
TCGA-25-1312-01A	13.81504613	EMT_high
TCGA-61-1724-01A	13.74559545	EMT_high
TCGA-13-1511-01A	13.73537723	EMT_high
TCGA-24-2036-01A	13.71881525	EMT_high
TCGA-10-0933-01A	13.62725877	EMT_high
TCGA-24-1847-01A	13.60466156	EMT_high
TCGA-24-1419-01A	13.60033816	EMT_high
TCGA-61-2104-01A	13.59507931	EMT_high
TCGA-61-1741-01A	13.59467256	EMT_high
TCGA-29-1705-01A	13.58589542	EMT_high
TCGA-24-2033-01A	13.55020926	EMT_high
TCGA-24-1562-01A	13.53253987	EMT_high
TCGA-25-1627-01A	13.52338358	EMT_high
TCGA-61-2008-01A	13.50291083	EMT_high
TCGA-61-1995-01A	13.48329787	EMT_high
TCGA-23-1109-01A	13.48116444	EMT_high
TCGA-25-1632-01A	13.47433703	EMT_high
TCGA-25-1313-01A	13.46204314	EMT_high
TCGA-29-1774-01A	13.43810418	EMT_high
TCGA-09-1667-01C	13.43140334	EMT_high
TCGA-24-1549-01A	13.41243407	EMT_high
TCGA-59-2350-01A	13.40067503	EMT_high
TCGA-10-0927-01A	13.39559214	EMT_high
TCGA-09-0369-01A	13.3161354	EMT_high
TCGA-09-1673-01A	13.25342357	EMT_high
TCGA-09-0366-01A	13.24520608	EMT_high
TCGA-25-1318-01A	13.21681793	EMT_high
TCGA-13-0911-01A	13.19796372	EMT_high
TCGA-13-0897-01A	13.14553391	EMT_high
TCGA-61-2009-01A	13.12067527	EMT_high
TCGA-61-2002-01A	13.09484555	EMT_high
TCGA-04-1338-01A	13.07168698	EMT_high
TCGA-24-2038-01A	13.05828356	EMT_high
TCGA-31-1956-01A	12.94637702	EMT_high
TCGA-24-2288-01A	12.90470821	EMT_high
TCGA-24-0968-01A	12.89731264	EMT_high
TCGA-36-1568-01A	12.87932615	EMT_high
TCGA-61-1728-01A	12.87154789	EMT_high
TCGA-24-1423-01A	12.74038504	EMT_high
TCGA-61-1733-01A	12.66458165	EMT_high
TCGA-25-1315-01A	12.64695887	EMT_high
TCGA-25-2393-01A	12.60282694	EMT_high
TCGA-29-1770-01A	12.60268558	EMT_high
TCGA-25-1630-01A	12.59675624	EMT_high
TCGA-24-1558-01A	12.57880286	EMT_high
TCGA-29-1766-01A	12.5008391	EMT_high
TCGA-30-1891-01A	12.44621917	EMT_high
TCGA-13-1403-01A	12.38215391	EMT_high
TCGA-13-0924-01A	12.31224517	EMT_high
TCGA-24-2261-01A	12.25144088	EMT_high
TCGA-30-1857-01A	12.20348714	EMT_high
TCGA-29-1776-01A	12.20143711	EMT_high
TCGA-23-1120-01A	12.18212146	EMT_high
